Upc,Department,qty,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
,Snacks,1,n,n,,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
499038380039,Item Tax,1,n,n,Bag,,,n,1,0,0,n,,0,,,,,,y,#f44336,#000000,,8,In-Store,Bag,8
499038380046,Tobacco,1,n,n,Crush Ball,,,n,1,1,0,n,,0,,,,,,y,,,,6,In-Store,Crush Ball,6
499102010008,Grocery,1,n,n,Grocery,,,n,1,1,0,n,,0,,,,,,y,#ad1457,#6d4c41,,7,In-Store,Grocery,7
499102010015,Lotto,1,n,n,Lotto $1,1,n,n,1,1,0,n,,0,,,,,,y,#ffffff,#ab47bc,,9,In-Store,Lotto $1,9
499102010022,Lotto,1,n,n,Lotto $5,1,n,n,1,1,0,n,,0,,,,,,y,#ffffff,#4fc3f7,,11,In-Store,Lotto $5,11
499102010039,Item Tax,1,n,n,Item tax,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
499102010046,Grocery,1,n,n,GROCERY,,,n,1,1,0,y,,0,,,,,,y,#ff5722,#000000,,4,In-Store,GROCERY.,4
499102010053,Lotto,1,n,n,Lotto $2,,,n,1,1,0,n,,0,,,,,,y,#ffffff,#ef5350,,10,In-Store,Lotto $2,10
499102010060,Lotto,1,n,n,Lotto $10,,,n,1,1,0,n,,0,,,,,,y,#ffffff,#4db6ac,,5,In-Store,Lotto $10,5
499102010077,Item Tax,1,n,n,ITEM TAX,1,n,n,1,1,0,y,,0,,,,,,y,#283593,#000000,,1,In-Store,ITEM TAX,1
499102010084,Beer,1,n,n,BEER,,,n,1,1,0,y,,0,,,,,,y,#26a69a,#000000,,2,In-Store,BEER,2
499102010091,LIQUOR,1,n,n,LIQUOR,,,n,1,1,0,y,,0,,,,,,y,#ffeb3b,#000000,,3,In-Store,LIQUOR.,3
200100000003,Grocery,1,n,n,Ham Cheese,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
201303000005,Item Tax,1,n,n,Fashi,,n,y,1,0,0,n,,0,,,,,,n,,,,,,,
223456000008,Item Tax,1,n,n,Sun Glasses,1,n,y,1,0,0,n,,0,,,,,,n,,,,,,,
245991000008,LIQUOR,1,n,n,Hennessy Pure White,750ml,n,n,2,1,0,n,,0,,,,,,n,,,,,,,
254967000003,Tobacco,1,n,n,Zemis Natural,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
24448420,Grocery,1,n,n,Coffee mate,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
40111216,Snacks,1,n,n,Bounty,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
41508015,Drinks NT 5,1,n,n,Maison Perrier,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
44444211,Grocery,1,n,n,Coffee mate,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
50985104,Item Tax,1,n,n,Hall,,n,n,1,1,0,n,,0,,,,,,n,,,,,,,
57026404,Item Tax,1,n,n,Halls,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
60014399,Item Tax,1,n,n,Vaseline,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
75004699,Drinks T10,1,n,n,Coca Cola,Mexica a,,n,1,1,0,n,,0,,,,,,n,,,,,,,
75030452,Grocery,1,n,n,Canel,144.00 FL OZ,n,n,12,0,0,n,,0,,,,,,n,,,,,,,
75050054,Grocery,1,n,n,Salt & Limon Powder,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
75050115,Grocery,1,n,n,Salt Lemon,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
75064631,Snacks,1,n,n,pelon pelonetes,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
75065317,Snacks,1,n,n,Pelon mini,,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
75074210,Item Tax,1,n,n,Picot,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
78938793,Item Tax,1,n,n,Haii,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
78938816,Item Tax,1,n,n,Hall,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
78938823,LIQUOR,1,n,n,GUm,,,n,2,1,0,n,,0,,,,,,n,,,,,,,
78938830,Item Tax,1,n,n,Hall,9 Ct,,n,1,1,0,n,,0,,,,,,n,,,,,,,
80135890,Grocery,1,n,n,Joy,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
80768258,Grocery,1,n,n,Joy,one,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
80924517,Snacks,1,n,n,Kinder joy,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
001234040992,Grocery,1,n,n,Chicharrones,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
002157486003,Item Tax,1,n,n,Rhino 7,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
004007000070,Drinks T5,1,n,n,Corona Sunbrew,,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
007840783162,Grocery,1,n,n,Pepe'S,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
008360301072,Grocery,1,n,n,Roasted Peanuts,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008421363797,Item Tax,1,n,n,Ty,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
008421412884,Item Tax,1,n,n,Beanie Bellies,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
008660000019,Tobacco,1,n,n,Zig Zag Braunstein Freres,1,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000026,Tobacco,1,n,n,Zig-Zag Slow Burning Wrapping Paper,1 ct,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660000071,Tobacco,1,n,n,Zigzag Cigarette Paper King,1,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
008660007322,Tobacco,1,n,n,Zig Zag Ultra Thin,1,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009016019747,Item Tax,1,n,n,Agavales Plzta Teqhila,750ml,n,n,1,0,0,n,,0,,,,,,n,,,,,,,
009060000029,Grocery,1,n,n,Mega Warheads:Candy  Strawberry,1.50 OZ,y,n,1,0,0,n,,-1,,,,,,n,,,,,,,
009060000036,Snacks,1,n,n,The Foreign Candy Company:Rip Rolls  Blue Raspberry,1.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009060000043,Snacks,1,n,n,Mega Warheads:Candy  Sour Apple,1.50 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009060000074,Snacks,1,n,n,Commonwealth Brands  Inc.,40in,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009060000081,Snacks,1,n,n,Rip Rolls Rainbow Reaction,.78 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009281635000,Item Tax,1,n,n,Book,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000079,Snacks,1,n,n,Mt. Olive:Sweet,8.00 OZ,,n,1,0,0,n,,0,,,,,,n,,,,,,,
009300000444,Grocery,1,n,n,Mt. Olive:Sweet,16.00 OZ,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000857,Grocery,1,n,n,Mt. Olive:Kosher Baby Dills,24.00 FL OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300000864,Snacks,1,n,n,M.Olive Kosher Dills Pickles,46fl,,n,1,0,0,n,,0,,,,,,n,,,,,,,
009300001809,Grocery,1,n,n,Mt. Olive Kosher Dills,80 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300001977,Grocery,1,n,n,Mt. Olive:Old Fashioned Sweet Bread & Butter Sandwich Stuffers Fresh Pack,24.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300006538,Grocery,1,n,n,Mt Olive Kosher Baby Dills,24 oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009300184007,Grocery,1,n,n,Mt. Olives Zesty Garlic Kosher Dills,14fl,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000524,Snacks,1,n,n,Kinder 1,1,y,n,1,0,0,n,,-2,,,,,,n,,,,,,,
009800000531,Snacks,1,n,n,Joy,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800000555,Snacks,1,n,n,Kinder Bueno,1.5 oz,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800001002,Grocery,1,n,n,Tic Tak,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800001026,Grocery,1,n,n,Tit,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800004898,Grocery,1,n,n,Tic Tac,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800005406,Snacks,1,n,n,Tictac,,,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800007448,Snacks,1,n,n,Tic Tac,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007608,Grocery,1,n,n,Tic Tac:Fruit Adventure,1.00 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800007615,Snacks,1,n,n,Tic Tac Freshmints,1.00 OZ,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800007639,Grocery,1,n,n,Tic Tac Orange,1.00 OZ,y,n,1,0,0,n,,0,,,,,,n,,,,,,,
009800007677,Snacks,1,n,n,Tic Tac Big Pack Wintergreen Singles,1.00 Oz,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800008070,Grocery,1,n,n,Tic Tac Dr Pepper,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
009800010219,Grocery,1,n,n,Tic Tac,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
